dimension,pantalla,nombre_interno,estado,meta_similitud,referencia,escena_o_prefab,generador,prueba_principal,captura_aprobada,notas
D1,Centro de Mando,D1_CommandCenter,aprobada_cierre_pendiente,95%,05_REFERENCIAS/DIMENSION_1/CENTRO_DE_MANDO,Assets/Project/Scenes/Main.unity,Dimension1CommandCenterSetup,Dimension1CommandCenterDrawerRuntimeValidation,pendiente_archivo_definitivo,Aprobación visual registrada; falta consolidar captura final
D1,Carta Galáctica,D1_GalaxyVisualRoot,aprobada,95%,05_REFERENCIAS/DIMENSION_1/CARTA_GALACTICA,Assets/Project/Scenes/Main.unity,Dimension1GalaxyPremiumSetup.ConfigureReferenceV11,Dimension1GalaxyReferenceCapture.RunInteractionRegression,06_CAPTURAS_APROBADAS/DIMENSION_1/CARTA_GALACTICA,Rutas simétricas y estados validados
D1,Explorar,D1_ExploreVisualRoot,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/EXPLORAR,Assets/Project/Scenes/Main.unity,Dimension1ExploreReferenceSetup.Install,Dimension1ExploreReferenceCapture.Run,10_PANTALLAS/DIMENSION_1/EXPLORAR/CAPTURA_CANDIDATA_1080x1920.png,Referencia nueva del usuario; validación interna PASS; aprobación del usuario pendiente
D1,Hangar,D1_HangarVisualRoot,aprobada,95%,05_REFERENCIAS/DIMENSION_1/HANGAR,Assets/Project/Scenes/Main.unity,Dimension1HangarReferenceSetup.Install,Dimension1HangarReferenceCapture.Run,06_CAPTURAS_APROBADAS/DIMENSION_1/HANGAR,Aprobación visual registrada el 19 de agosto de 2026
D1,Cámara de Reliquias,D1_RelicsVisualRoot,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/RELIQUIAS,Assets/Project/Scenes/Main.unity,Dimension1RelicsReferenceSetup.Install,Dimension1RelicsReferenceCapture.Run,10_PANTALLAS/DIMENSION_1/RELIQUIAS/CAPTURA_CANDIDATA_1080x1920.png,Veinte sprites sólidos en tres páginas; recorrido y capturas 1080/720 PASS; aprobación visual pendiente
D1,Árbol Cuántico,D1_TreeVisualRoot,segunda_candidata_estatica,95%,05_REFERENCIAS/DIMENSION_1/ARBOL_CUANTICO,Assets/Project/Scenes/Main.unity,Dimension1TreeReferenceSetup.Install,Dimension1TreeReferenceCapture.Run,pendiente_aprobacion_usuario,Primera candidata rechazada y archivada; segunda candidata con reutilización D1 y PASS técnico en ambas resoluciones
D1,Órbitas Antiguas,D1_AncientOrbitsVisualRoot,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/ORBITAS_ANTIGUAS,Assets/Project/Scenes/Main.unity,Dimension1AncientOrbitsSetup.Install,Dimension1AncientOrbitsCapture.Run,10_PANTALLAS/DIMENSION_1/ORBITAS_ANTIGUAS/CAPTURAS_CANDIDATAS,Subpantalla Sector 3; datos e interacción reales; instalación y capturas 1080/720 PASS; aprobación pendiente
D1,ARK Centro Galáctico,D1_ARK_CENTRO_GALACTICO,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/ARK_CENTRO_GALACTICO,Assets/Project/Scenes/Main.unity,Dimension1ArkUISetup.Install,Dimension1ArkCapture.Run,10_PANTALLAS/DIMENSION_1/ARK_CENTRO_GALACTICO/CAPTURAS_CANDIDATAS,Subpantalla Sector 5; naves canónicas Hangar V2; contraste y ecos corregidos; instalación e interacción 1080/720 PASS; aprobación visual pendiente
D2,Mapa de los Pactos,D2_PactMap,referencia_en_correccion,95%,05_REFERENCIAS/DIMENSION_2/CANDIDATAS_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_matriz_20_vistas,pendiente,Entrada principal; concepto candidato no aprobado
D2,Santuario,D2_Civilization1,referencia_en_correccion,95%,05_REFERENCIAS/DIMENSION_2/CANDIDATAS_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_matriz_20_vistas,pendiente,Siete secciones dentro de una pantalla base
D2,Resistencia,D2_Civilization2,referencia_en_correccion,95%,05_REFERENCIAS/DIMENSION_2/CANDIDATAS_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_matriz_20_vistas,pendiente,Siete secciones dentro de una pantalla base
D2,Arqueología y Ente,D2_Civilization3,referencia_en_correccion,95%,05_REFERENCIAS/DIMENSION_2/CANDIDATAS_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_matriz_20_vistas,pendiente,Cinco secciones dentro de una pantalla base
D3,Planta de Producción,D3_PLANTA_PRODUCCION,composicion_estatica_aprobada,95%,05_REFERENCIAS/DIMENSION_3/PLANTA_PRODUCCION,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,10_PANTALLAS/DIMENSION_3/PLANTA_PRODUCCION/CANDIDATA_PLANTA_PRODUCCION_CORREGIDA_V2_1080x1920.png,Diseño aprobado por usuario; implementación pendiente
D3,Taller de Ingeniería,D3_TALLER_CALIBRACION,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
