id,descripcion,uso,estado_datos,resultado_esperado
ui_empty,Pantalla sin contenido o progreso,Estado vacío,Mínimos válidos,Mensaje neutral y sin controles improcedentes
ui_locked,Elementos bloqueados,Requisitos,Prerrequisitos incumplidos,Causa visible y acción deshabilitada
ui_mid,Progreso intermedio,Composición normal,Valores medios,Todos los bloques legibles
ui_max,Valores y textos máximos,Desbordamiento,Valores máximos válidos,Sin recortes ni superposiciones
ui_selected,Elemento previsualizado,Selección,Selección válida,Detalle y acento localizados
ui_rapid,Toques consecutivos,Carreras de estado,Cambios rápidos,Último estado coherente y layout estable
ui_scope,Separación de alcance documental,Identidad entre dimensiones,Reglas generales más perfil y referencia propios,No se heredan paleta marcos iconos navegación ni contenido de otra dimensión sin aprobación
d1_explore_reference,Explorar D1 contra referencia,Fidelidad y navegación,Escenario visual determinista,Composición 1080x1920 completa sin navegación global ni guardado alterado
d2_reference_family,Veinte referencias D2 como familia,Fidelidad fuera de Unity,Escenarios visuales independientes,Iconos nombres encabezados y navegación coherentes
d2_dynamic_labels,Etiquetas dinámicas D2,Estados antes y después,Umbral Contención y Ente,UMBRAL/PACTO CONTENCIÓN/PACTO MAYOR y ENTE/PACTO OPCIONAL correctos
d2_reference_resolution,Resolución de referencias D2,Integridad de archivos,Veinte PNG corregidos,Cada referencia mide 941x1672 y conserva su numeración
d2_unity_capture,Pantallas D2 implementadas,Fidelidad y comportamiento,Requiere fase posterior en Unity,Capturas 1080x1920 y 720x1280 con estados funcionales validados
