id,tema,alcance,regla_resumida,prevencion,prueba_minima,estado
UI-GEN-001,autoridad,general,No inventar contenido ni estética,Resolver ambigüedades contra el diseño aprobado,Justificar el origen de todo elemento determinante,CONSOLIDADO
UI-GEN-002,propiedad,general,Cada propiedad dinámica tiene un único escritor,Separar layout datos visuales navegación y animación,Revisar antes del evento inmediatamente después y tras refrescos,CONSOLIDADO
UI-GEN-003,reutilizacion,general,Auditar antes de crear sustitutos,Buscar por identidad función ID y origen en el proyecto real,Completar matriz concepto-origen-estado-decisión,CONSOLIDADO
UI-GEN-004,fidelidad,general,No simplificar silenciosamente un diseño aprobado,Conservar medio proporción volumen densidad y ocupación,Comparar por categorías y registrar diferencias,CONSOLIDADO
UI-GEN-005,estados,general,Diseñar todos los estados funcionales aplicables,Definir qué cambia y qué permanece fijo,Capturar y operar cada estado real,CONSOLIDADO
UI-GEN-006,identidad,general,Vincular colecciones dinámicas por ID estable,Actualizar juntos texto arte material estadísticas y acción,Recorrer cada opción y verificar su ID final,CONSOLIDADO
UI-GEN-007,recorrido,general,Una llamada directa no prueba el flujo del jugador,Probar controles reales desde la pantalla anterior,Entrar actuar salir y reabrir,CONSOLIDADO
UI-GEN-008,evidencia,general,La evidencia pertenece a una versión concreta,Invalidar capturas cuando cambia una fuente relevante,Comparar fecha versión fuente y resultado,CONSOLIDADO
UI-GEN-009,persistencia,general,QA no contamina progreso personal,Aislar datos de prueba y proteger todo el ciclo de vida,Comparar persistencia antes y después,CONSOLIDADO
UI-GEN-010,rendimiento,general,Optimizar contra mediciones equivalentes,Definir presupuesto y línea base por plataforma,Comparar el escenario más costoso antes y después,CONSOLIDADO
UI-UGUI-001,raycast,Unity UGUI,Sólo controles reales reciben raycast,Desactivar raycast en gráficos decorativos,Validar mediante GraphicRaycaster y control visible,CONSOLIDADO
UI-UGUI-002,reconstruccion,Unity UGUI,Una raíz tiene un constructor canónico idempotente,Sincronizar escena prefab generador y validación,Reconstruir dos veces cerrar reabrir y volver a probar,CONSOLIDADO
UI-MOB-001,tacto,móvil,Un control necesario debe ser tocable y descubrible,Medir área física contraste y señal visual,Operar en el dispositivo o simulación objetivo menor,CONSOLIDADO
UI-MOB-002,actualizacion,Android,Una actualización conserva identidad firma y progreso,Respaldar datos y probar migración sin desinstalar,Instalar encima y comprobar carga y guardado posterior,CONSOLIDADO
