dimension,pantalla,nombre_interno,estado,meta_similitud,referencia,escena_o_prefab,generador,prueba_principal,captura_aprobada,notas
D1,Centro de Mando,D1CommandCenterProductionRoot,aprobada,95%,05_REFERENCIAS/DIMENSION_1/CENTRO_DE_MANDO,Assets/Project/Scenes/Main.unity,Dimension1CommandCenterSetup,Dimension1CommandCenterDrawerRuntimeValidation,06_CAPTURAS_APROBADAS/DIMENSION_1/CENTRO_DE_MANDO,Aprobación explícita del usuario 2026-09-08; neutral y selector abierto archivados en 1080/720; botón DIMENSIONES 15/15 muestras táctiles por resolución
D1,Carta Galáctica,D1_GalaxyVisualRoot,aprobada,95%,05_REFERENCIAS/DIMENSION_1/CARTA_GALACTICA,Assets/Project/Scenes/Main.unity,Dimension1GalaxyPremiumSetup.ConfigureReferenceV11,Dimension1GalaxyReferenceCapture.RunInteractionRegression,06_CAPTURAS_APROBADAS/DIMENSION_1/CARTA_GALACTICA,V12 aprobada explícitamente 2026-09-08; neutral y Borde Exterior seleccionado archivados en 1080/720; V11 permanece como historial
D1,Explorar,D1_ExploreVisualRoot,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/EXPLORAR,Assets/Project/Scenes/Main.unity,Dimension1ExploreReferenceSetup.Install,Dimension1ExploreReferenceCapture.Run,10_PANTALLAS/DIMENSION_1/EXPLORAR/CAPTURA_CANDIDATA_1080x1920.png,Preview legacy retirado; filtro real por sector; controles 72 px; cuatro artes canónicos y detalles reales; guardado inmediato del escáner; pruebas y capturas 1080/720 PASS; aprobación visual pendiente
D1,Hangar,D1_HangarVisualRoot,aprobada,95%,05_REFERENCIAS/DIMENSION_1/HANGAR,Assets/Project/Scenes/Main.unity,Dimension1HangarReferenceSetup.Install,Dimension1HangarReferenceCapture.Run,06_CAPTURAS_APROBADAS/DIMENSION_1/HANGAR,Aprobación visual registrada el 19 de agosto de 2026
COMUN,Máquina — Monolito 2D,MachineMonolith2DRoot,aprobada,95%,05_REFERENCIAS/MAQUINA/MONOLITO_2D_CORRECCIONES_INTERACCION_2026-08-26_V02,Assets/Project/Scenes/Main.unity,MachineMonolith2DSetup.ConfigureBatch,MachineMonolith2DCapture.RunBatch,06_CAPTURAS_APROBADAS/COMUN/MAQUINA_MONOLITO_2D,Cuatro caras V25 y paralaje V26 aprobados por el usuario; 26 capturas PASS en ambas resoluciones; 22 capturas visuales archivadas el 2026-08-26
D1,Cámara de Reliquias,D1_RelicsVisualRoot,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/RELIQUIAS,Assets/Project/Scenes/Main.unity,Dimension1RelicsReferenceSetup.Install,Dimension1RelicsReferenceCapture.Run,10_PANTALLAS/DIMENSION_1/RELIQUIAS/CAPTURA_CANDIDATA_1080x1920.png,Veinte sprites sólidos en tres páginas; recorrido y capturas 1080/720 PASS; aprobación visual pendiente
D1,Árbol Cuántico,D1_TreeVisualRoot,segunda_candidata_estatica,95%,05_REFERENCIAS/DIMENSION_1/ARBOL_CUANTICO,Assets/Project/Scenes/Main.unity,Dimension1TreeReferenceSetup.Install,Dimension1TreeReferenceCapture.Run,pendiente_aprobacion_usuario,Primera candidata rechazada y archivada; segunda candidata con reutilización D1 y PASS técnico en ambas resoluciones
D1,Órbitas Antiguas,D1_AncientOrbitsVisualRoot,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/ORBITAS_ANTIGUAS,Assets/Project/Scenes/Main.unity,Dimension1AncientOrbitsSetup.Install,Dimension1AncientOrbitsCapture.Run,10_PANTALLAS/DIMENSION_1/ORBITAS_ANTIGUAS/CAPTURAS_CANDIDATAS,Sector 3; cabecera y marco compartidos normalizados; datos y estados reales; navegación GALAXIA; pruebas y capturas 1080/720 PASS; aprobación visual pendiente
D1,Borde Exterior,D1_OuterRimDetailVisualRoot,lista_revision,95%,sin_referencia_especifica_usa_familia_ORBITAS_ANTIGUAS,Assets/Project/Scenes/Main.unity,Dimension1SectorDetailsSetup.Install,Dimension1SectorDetailsCapture.Run,10_PANTALLAS/DIMENSION_1/BORDE_EXTERIOR/CAPTURAS_CANDIDATAS,Sector 1; cabecera y márgenes corregidos; dos planetas y cuatro destinos con estados reales; pruebas y capturas 1080/720 PASS; aprobación visual pendiente
D1,Anillo de Restos,D1_DebrisRingDetailVisualRoot,lista_revision,95%,sin_referencia_especifica_usa_familia_ORBITAS_ANTIGUAS,Assets/Project/Scenes/Main.unity,Dimension1SectorDetailsSetup.Install,Dimension1SectorDetailsCapture.Run,10_PANTALLAS/DIMENSION_1/ANILLO_DE_RESTOS/CAPTURAS_CANDIDATAS,Sector 2; un único planeta real centrado; cabecera y márgenes corregidos; estados reales; pruebas y capturas 1080/720 PASS; aprobación visual pendiente
