numero,pantalla_base,seccion,clasificacion,archivo_fuente,correccion_obligatoria,estado
01,Mapa de los Pactos,Mapa,entrada,01_Mapa_De_Los_Pactos_Corregido.png,Mostrar Confianza 280/500 mantener 300 solo como requisito y eliminar líneas/nodos entre territorios,corregida_v3_pendiente_aprobacion
02,Civilización 1 — Santuario,Refugio,seccion,02_El_Santuario_Refugio_Corregido.png,Normalizar encabezado navegación e iconos de las siete secciones,corregida_v3_pendiente_aprobacion
03,Civilización 1 — Santuario,Altares,seccion,03_Altares_Del_Santuario_Corregido.png,Reutilizar exactamente los iconos canónicos de Santuario,corregida_v3_pendiente_aprobacion
04,Civilización 1 — Santuario,Peregrinaciones,seccion,04_Peregrinaciones_Corregidas.png,Usar el icono de Ritos y no un libro abierto,corregida_v3_pendiente_aprobacion
05,Civilización 1 — Santuario,Noviciado,seccion,05_Noviciado_Corregido.png,Reutilizar exactamente los iconos canónicos de Santuario,corregida_v3_pendiente_aprobacion
06,Civilización 1 — Santuario,Ritos,seccion,06_Ritos_Del_Santuario_Corregidos.png,Reutilizar exactamente los iconos canónicos de Santuario,corregida_v3_pendiente_aprobacion
07,Civilización 1 — Santuario,Pactos,seccion,07_Pactos_De_Civilizacion_Corregidos.png,Reutilizar exactamente los iconos canónicos de Santuario,corregida_v3_pendiente_aprobacion
08,Civilización 1 — Santuario,Umbral/Pacto,estado_dinamico,08_Umbral_Lugar_De_Vinculo_Corregido.png,Conservar UMBRAL antes del pacto y PACTO después,corregida_v3_pendiente_aprobacion
09,Civilización 2 — Resistencia,Red de regiones,seccion,09_Red_De_Resistencia_Regiones_Corregida.png,Fijar la familia común de iconos de Resistencia,corregida_v3_pendiente_aprobacion
10,Civilización 2 — Resistencia,Operaciones,seccion,10_Operaciones_De_Resistencia_Corregidas.png,Reutilizar exactamente los iconos canónicos de Resistencia,corregida_v3_pendiente_aprobacion
11,Civilización 2 — Resistencia,Defensa y represalias,seccion,11_Defensa_Y_Represalias_Corregida.png,Añadir navegación de regreso y conservar el resto,corregida_v3_pendiente_aprobacion
12,Civilización 2 — Resistencia,Resistencia y pactos,seccion,12_Resistencia_Y_Pactos_Corregida.png,Reutilizar exactamente los iconos canónicos de Resistencia,corregida_v3_pendiente_aprobacion
13,Civilización 2 — Resistencia,Alerta del Ente,estado,13_Alerta_Del_Ente_Corregida.png,Añadir regreso y usar ENTE de forma consistente,corregida_v3_pendiente_aprobacion
14,Civilización 2 — Resistencia,Contención,estado_dinamico,14_Contencion_Intento_Corregida.png,Conservar CONTENCIÓN antes del cierre,corregida_v3_pendiente_aprobacion
15,Civilización 2 — Resistencia,Pacto Mayor,estado_dinamico,15_Pacto_Mayor_Civilizacion2_Corregido.png,Mostrar PACTO MAYOR únicamente después de la contención,corregida_v3_pendiente_aprobacion
16,Civilización 3 — Arqueología y Ente,Ruinas sepultadas,seccion,16_Ruinas_Sepultadas_Arqueologia_Corregida.png,Fijar la familia común de iconos de Arqueología y Ente,corregida_v3_pendiente_aprobacion
17,Civilización 3 — Arqueología y Ente,Analizar restos,seccion,17_Analizar_Restos_Corregido.png,Reutilizar exactamente los iconos canónicos de Arqueología y Ente,corregida_v3_pendiente_aprobacion
18,Civilización 3 — Arqueología y Ente,Archivo,seccion,18_Archivo_Mejoras_Permanentes_Corregido.png,Conservar tres mejoras reales y tratar el nivel como estado independiente,corregida_v3_pendiente_aprobacion
19,Civilización 3 — Arqueología y Ente,Investigación del Ente,seccion,19_Investigacion_Del_Ente_Corregida.png,Usar ENTE y reutilizar los iconos canónicos de la civilización,corregida_v3_pendiente_aprobacion
20,Civilización 3 — Arqueología y Ente,Pacto Opcional,estado_dinamico,20_Pacto_Opcional_Con_El_Ente_Corregido.png,Mostrar PACTO OPCIONAL únicamente después de establecer el pacto,corregida_v3_pendiente_aprobacion
