dimension,concepto,nombre_visible,tipo,ruta_asset,estado,fuente_aprobacion,notas
COMUN,tema_vertical,VerticalUiTheme,ScriptableObject,Assets/Project/UI/Vertical/Generated/VerticalUiTheme.asset,canónico,implementación existente,Reutilizar cuando corresponda
D1,carta_galactica,Carta Galáctica,pantalla,Assets/Project/Scenes/Main.unity,aprobada,referencia y captura archivadas,Generada por Dimension1GalaxyReferenceSetup
D1,centro_mando,Centro de Mando,pantalla,Assets/Project/Scenes/Main.unity,aprobada,referencia archivada,Registrar captura aprobada definitiva
D1,planeta_fundido,Cuerpo fundido,sprite,Assets/Project/UI/Dimension1/Generated/d1_body_planet_molten_alpha_v2.png,canónico,pantalla Carta Galáctica,PNG con alfa real
D1,marco_hexagonal,Marco de sector,sprite,Assets/Project/UI/Dimension1/Generated/d1_premium_frame_v4.png,canónico,pantallas aprobadas de Dimensión 1,Recurso exclusivo D1 salvo nueva aprobación registrada
D1,panel_fill,Relleno técnico D1,sprite,Assets/Project/UI/Dimension1/Generated/d1_panel_fill_v4.png,canónico,Hangar y Carta Galáctica aprobados,Reutilizar sin redibujar
D1,starfield,Campo estelar D1,sprite,Assets/Project/UI/Dimension1/Generated/d1_starfield.png,canónico,Carta Galáctica y Hangar aprobados,Fondo separado del contenido
D1,technical_glow,Brillo técnico D1,sprite,Assets/Project/UI/Dimension1/Generated/d1_glow_v3.png,canónico,Carta Galáctica y Hangar aprobados,Efecto reutilizable dentro de D1
D1,orbit_ring,Anillo orbital D1,sprite,Assets/Project/UI/Dimension1/Generated/d1_orbit_ring_v3.png,canónico,Carta Galáctica aprobada,Conservar proporción y densidad
D1,nav_galaxy_legacy,Icono navegación Galaxia simple,sprite,Assets/Project/UI/Dimension1/Generated/d1_nav_galaxy_v3.png,sustituido,revisión explícita del usuario 2026-08-19,Conservar sólo por compatibilidad histórica
D1,nav_explore_legacy,Icono navegación Explorar simple,sprite,Assets/Project/UI/Dimension1/Generated/d1_nav_explore_v3.png,sustituido,revisión explícita del usuario 2026-08-19,Conservar sólo por compatibilidad histórica
D1,nav_hangar_legacy,Icono navegación Hangar simple,sprite,Assets/Project/UI/Dimension1/Generated/d1_nav_hangar_v3.png,sustituido,revisión explícita del usuario 2026-08-19,Conservar sólo por compatibilidad histórica
D1,nav_relics_legacy,Icono navegación Reliquias simple,sprite,Assets/Project/UI/Dimension1/Generated/d1_nav_relics_v3.png,sustituido,revisión explícita del usuario 2026-08-19,Conservar sólo por compatibilidad histórica
D1,nav_tree_legacy,Icono navegación Árbol simple,sprite,Assets/Project/UI/Dimension1/Generated/d1_nav_tree_v3.png,sustituido,revisión explícita del usuario 2026-08-19,Conservar sólo por compatibilidad histórica
D1,nav_galaxy,Icono navegación Galaxia premium,sprite,Assets/Project/UI/Dimension1/Generated/NavigationPremium/d1_nav_galaxy_premium_v1.png,canónico,aprobación explícita del usuario 2026-08-19,Usar con material black key D1
D1,nav_explore,Icono navegación Explorar premium,sprite,Assets/Project/UI/Dimension1/Generated/NavigationPremium/d1_nav_explore_premium_v1.png,canónico,aprobación explícita del usuario 2026-08-19,Usar con material black key D1
D1,nav_hangar,Icono navegación Hangar premium,sprite,Assets/Project/UI/Dimension1/Generated/NavigationPremium/d1_nav_hangar_premium_v1.png,canónico,aprobación explícita del usuario 2026-08-19,Usar con material black key D1
D1,nav_relics,Icono navegación Reliquias premium,sprite,Assets/Project/UI/Dimension1/Generated/NavigationPremium/d1_nav_relics_premium_v1.png,canónico,aprobación explícita del usuario 2026-08-19,Usar con material black key D1
D1,nav_tree,Icono navegación Árbol premium,sprite,Assets/Project/UI/Dimension1/Generated/NavigationPremium/d1_nav_tree_premium_v1.png,canónico,aprobación explícita del usuario 2026-08-19,Usar con material black key D1
D1,nav_premium_treatment,Recorte y selección navegación premium,material,Assets/Project/UI/Dimension1/Generated/NavigationPremium/d1_nav_premium_black_key.mat,canónico,validación visual y runtime 2026-08-19,Conservar junto a los cinco sprites y su variante seleccionada
D1,header_home_metals,Iconos de Centro y metales,origen_codigo,Assets/Project/Scripts/Editor/Dimension1HangarReferenceSetup.cs,canónico,Hangar aprobado,Consolidar o reutilizar salida exacta; no aproximar
D1,hangar_light_probe,Sonda Ligera blueprint,sprite,Assets/Project/UI/Dimension1/Generated/d1_hangar_sonda_ligera_blueprint_v2.png,canónico,Hangar aprobado,Detalle técnico D1
D1,hangar_extractor,Dron Extractor blueprint,sprite,Assets/Project/UI/Dimension1/Generated/d1_hangar_dron_extractor_blueprint_v2.png,canónico,Hangar aprobado,Detalle técnico D1
D1,hangar_analytic_probe,Sonda Analítica blueprint,sprite,Assets/Project/UI/Dimension1/Generated/d1_hangar_sonda_analitica_blueprint_v2.png,canónico,Hangar aprobado,Detalle técnico D1
D1,hangar_cargo_ship,Nave de Carga blueprint,sprite,Assets/Project/UI/Dimension1/Generated/d1_hangar_nave_carga_blueprint_v2.png,canónico,Hangar aprobado,Detalle técnico D1
D1,relic_analytic_crystal,Cristal Analítico,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/Relics/d1_relic_analytic_crystal.png,candidato,Cámara de Reliquias candidata,No promover sin aprobación explícita
D1,relic_navigation_record,Registro de navegación perdido,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/Relics/d1_relic_lost_navigation_record.png,candidato,Cámara de Reliquias candidata,Validar identidad antes de reutilizar
D1,sonda_ligera,Sonda Ligera,sprite,Assets/Project/UI/Dimension1/Generated/d1_explore_ship_solid_v2.png,candidato,referencia Explorar del usuario,Ilustración sólida con alfa; pendiente de aprobación explícita
D1,dron_extractor,Dron Extractor,sprite,Assets/Project/UI/Dimension1/Generated/d1_explore_drone_solid_v2.png,candidato,referencia Explorar del usuario,Ilustración sólida con alfa; pendiente de aprobación explícita
D1,arbol_cuantico,Árbol Cuántico,pantalla,SISTEMA_GENERAL_PRODUCCION_UI/09_PROYECTOS/QUANTUM_FORGE/05_REFERENCIAS/DIMENSION_1/ARBOL_CUANTICO/referencia_arbol_cuantico_orbital_v1.png,candidato,selección explícita del usuario 2026-08-19,Referencia orbital para composición estática; no es captura ni asset runtime
D1,tree_advanced_cartography,Cartografía Avanzada,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/Tree/d1_tree_advanced_cartography_v2.png,candidato,faltante real del Árbol Cuántico D1,PNG 1254x1254 con transparencia validada; no promover sin aprobación explícita
D1,tree_orbital_field,Campo orbital detallado,sprite_fondo,Assets/Project/UI/Dimension1/Generated/Candidates/Tree/d1_tree_orbital_field_v1.png,candidato,faltante decorativo detectado en captura del Árbol D1,Placa 1536x1536 sin texto nodos tarjetas estados ni interacción; generada con imagegen y pendiente de aprobación
D1,destination_abandoned_ship,Nave Abandonada,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/AncientOrbits/d1_destination_abandoned_ship_v2.png,candidato,faltante real de Órbitas Antiguas D1,Blueprint cian con alfa y silueta centrada; pendiente de aprobación
D1,destination_orbital_ruin,Ruina Orbital,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/AncientOrbits/d1_destination_orbital_ruin_v2.png,candidato,faltante real de Órbitas Antiguas D1,Blueprint cian con alfa y silueta centrada; pendiente de aprobación
D1,destination_laboratory,Laboratorio,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/AncientOrbits/d1_destination_laboratory_v2.png,candidato,faltante real de Órbitas Antiguas D1,Blueprint cian con alfa y silueta centrada; pendiente de aprobación
D1,destination_abandoned_station,Estación Abandonada,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/AncientOrbits/d1_destination_abandoned_station_v2.png,candidato,faltante real de Órbitas Antiguas D1,Blueprint cian con alfa y silueta centrada; pendiente de aprobación
D1,destination_mineral_belt,Cinturón Mineral,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/SectorDetails/d1_destination_mineral_belt_v2.png,candidato,faltante real de sectores D1,Ilustración cian detallada con fondo oscuro integrado; pendiente de aprobación
D1,destination_ship_graveyard,Cementerio de Naves,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/SectorDetails/d1_destination_ship_graveyard_v2.png,candidato,faltante real de sectores D1,Ilustración cian detallada con fondo oscuro integrado; pendiente de aprobación
D1,destination_drifting_probes,Sondas a la Deriva,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/SectorDetails/d1_destination_drifting_probes_v2.png,candidato,faltante real de sectores D1,Ilustración cian detallada con fondo oscuro integrado; pendiente de aprobación
D1,destination_minor_anomaly,Anomalía Menor,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/SectorDetails/d1_destination_minor_anomaly_v2.png,candidato,faltante real de Frontera Silenciosa D1,Ilustración cian detallada con fondo oscuro integrado; pendiente de aprobación
D1,destination_ancient_structure,Estructura Antigua,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/SectorDetails/d1_destination_ancient_structure_v2.png,candidato,faltante real de Frontera Silenciosa D1,Ilustración cian detallada con fondo oscuro integrado; pendiente de aprobación
D1,destination_unstable_zone,Zona Inestable,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/SectorDetails/d1_destination_unstable_zone_v2.png,candidato,faltante real de Frontera Silenciosa D1,Ilustración cian detallada con fondo oscuro integrado; pendiente de aprobación
D1,ark_center_hero,ARK sobre Centro Galáctico,hero,Assets/Project/UI/Dimension1/Generated/Candidates/ArkCenter/d1_ark_center_hero_candidate_v1.png,candidato,faltante real de ARK Centro Galáctico D1,Arte 1792x1024 sin texto ni UI; integrado y pendiente de aprobación
D1,expedition_complete_badge,Insignia de expedición completada,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/ExpeditionResult/d1_expedition_complete_badge_v1.png,candidato,faltante real de Expedición Completada D1,Insignia ámbar sin texto con alfa inspeccionado; pendiente de aprobación
D1,matrix_fragments_reward,Fragmentos de Matriz Adaptativa,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/ExpeditionResult/d1_matrix_fragments_v1.png,candidato,faltante real de Expedición Completada D1,Recurso detallado con alfa inspeccionado; pendiente de aprobación
D1,specific_matrix_reward,Matriz específica,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/ExpeditionResult/d1_matrix_specific_v1.png,candidato,faltante real de Expedición Completada D1,Icono común para el premio cuyo nombre e ID son dinámicos; pendiente de aprobación
D1,record_summary_expeditions,Total de expediciones,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/ExpeditionRecordSummary/d1_record_summary_expeditions_candidate_v1.png,candidato,faltante real del Registro de Expediciones D1,Emblema específico; fondo negro tratado con material black key canónico; pendiente de aprobación
D1,record_summary_relics,Total de reliquias,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/ExpeditionRecordSummary/d1_record_summary_relics_candidate_v1.png,candidato,faltante real del Registro de Expediciones D1,Conjunto de reliquias específico; no reutilizar icono de navegación; pendiente de aprobación
D1,record_summary_metals,Total de metales,sprite,Assets/Project/UI/Dimension1/Generated/Candidates/ExpeditionRecordSummary/d1_record_summary_metals_candidate_v1.png,candidato,faltante real del Registro de Expediciones D1,Conjunto mixto de metales; no reutilizar hierro u otro metal individual; pendiente de aprobación
D2,mapa_pactos,Mapa de los Pactos,familia_pantalla,SISTEMA_GENERAL_PRODUCCION_UI/09_PROYECTOS/QUANTUM_FORGE/05_REFERENCIAS/DIMENSION_2/CORREGIDAS_V4_2026-08-21,candidato,colección candidata vigente V4/V5,Una vista de entrada; no usar el PNG completo como textura
D2,santuario,Santuario,familia_pantalla,SISTEMA_GENERAL_PRODUCCION_UI/09_PROYECTOS/QUANTUM_FORGE/05_REFERENCIAS/DIMENSION_2/CORREGIDAS_V4_2026-08-21,candidato,colección candidata vigente V4/V5,Siete vistas conceptuales; assets e iconos finales todavía no catalogados
D2,resistencia,Resistencia,familia_pantalla,SISTEMA_GENERAL_PRODUCCION_UI/09_PROYECTOS/QUANTUM_FORGE/05_REFERENCIAS/DIMENSION_2/CORREGIDAS_V4_2026-08-21,candidato,colección candidata vigente V4/V5,Seis secciones y un estado posterior; assets e iconos finales todavía no catalogados
D2,arqueologia_ente,Arqueología y Ente,familia_pantalla,SISTEMA_GENERAL_PRODUCCION_UI/09_PROYECTOS/QUANTUM_FORGE/05_REFERENCIAS/DIMENSION_2/CORREGIDAS_V4_2026-08-21,candidato,colección candidata vigente V4/V5,Tres áreas base más la subvista Analizar y un estado posterior; assets e iconos finales todavía no catalogados
